@relation ./DatosEnPDF/16_01-04_01-10.pdf

@attribute dia {Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo}
@attribute mes {Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre}
@attribute hora numeric
@attribute tipo {Laboral,Festivo,Víspera}
@attribute lluvia {si, no}
@attribute cantidad numeric

@data
Jueves,Enero,18,Laboral,no,8165
Viernes,Enero,18,Laboral,no,8191
Sábado,Enero,18,Víspera,no,6185
Domingo,Enero,18,Festivo,no,5447
Lunes,Enero,19,Laboral,no,7571
Martes,Enero,19,Laboral,si,7491
Miércoles,Enero,19,Laboral,no,7621
Jueves,Enero,19,Laboral,no,7701
Viernes,Enero,19,Laboral,no,7906
Sábado,Enero,19,Víspera,no,6425
Domingo,Enero,19,Festivo,no,6407
Lunes,Enero,20,Laboral,no,6730
Martes,Enero,20,Laboral,si,6655
Miércoles,Enero,20,Laboral,no,6766
Jueves,Enero,20,Laboral,no,6929
Viernes,Enero,20,Laboral,no,7284
Sábado,Enero,20,Víspera,no,6380
Domingo,Enero,20,Festivo,no,5553
Lunes,Enero,21,Laboral,no,5322
Martes,Enero,21,Laboral,si,5441
Miércoles,Enero,21,Laboral,no,5543
Jueves,Enero,21,Laboral,no,5814
Viernes,Enero,21,Laboral,no,6357
Sábado,Enero,21,Víspera,no,5852
Domingo,Enero,21,Festivo,no,4175
Lunes,Enero,22,Laboral,no,3427
Martes,Enero,22,Laboral,si,3619
Miércoles,Enero,22,Laboral,no,3637
Jueves,Enero,22,Laboral,no,3911
Viernes,Enero,22,Laboral,no,4699
Sábado,Enero,22,Víspera,no,4796
Domingo,Enero,22,Festivo,no,3090
Lunes,Enero,23,Laboral,no,2348
Martes,Enero,23,Laboral,si,2238
Miércoles,Enero,23,Laboral,no,2477
Jueves,Enero,23,Laboral,no,2644
Viernes,Enero,23,Laboral,no,3226
Sábado,Enero,23,Víspera,no,3325
Domingo,Enero,23,Festivo,no,1854
Lunes,Enero,24,Laboral,no,950
Martes,Enero,24,Laboral,si,1100
Miércoles,Enero,24,Laboral,no,1336
Jueves,Enero,24,Laboral,no,1326
Viernes,Enero,24,Laboral,no,2045
Sábado,Enero,24,Víspera,no,2043
Domingo,Enero,24,Festivo,no,1037
Lunes,Enero,1,Laboral,no,544
Martes,Enero,1,Laboral,no,575
Miércoles,Enero,1,Laboral,no,588
Jueves,Enero,1,Laboral,no,677
Viernes,Enero,1,Laboral,si,713
Sábado,Enero,1,Víspera,no,1460
Domingo,Enero,1,Festivo,no,1578
Lunes,Enero,2,Laboral,no,262
Martes,Enero,2,Laboral,no,303
Miércoles,Enero,2,Laboral,no,329
Jueves,Enero,2,Laboral,no,362
Viernes,Enero,2,Laboral,si,427
Sábado,Enero,2,Víspera,no,895
Domingo,Enero,2,Festivo,no,976
Lunes,Enero,3,Laboral,no,175
Martes,Enero,3,Laboral,no,199
Miércoles,Enero,3,Laboral,no,168
Jueves,Enero,3,Laboral,no,210
Viernes,Enero,3,Laboral,si,216
Sábado,Enero,3,Víspera,no,507
Domingo,Enero,3,Festivo,no,589
Lunes,Enero,4,Laboral,no,173
Martes,Enero,4,Laboral,no,179
Miércoles,Enero,4,Laboral,no,151
Jueves,Enero,4,Laboral,no,181
Viernes,Enero,4,Laboral,si,242
Sábado,Enero,4,Víspera,no,372
Domingo,Enero,4,Festivo,no,522
Lunes,Enero,5,Laboral,no,296
Martes,Enero,5,Laboral,no,316
Miércoles,Enero,5,Laboral,no,317
Jueves,Enero,5,Laboral,no,318
Viernes,Enero,5,Laboral,si,394
Sábado,Enero,5,Víspera,no,370
Domingo,Enero,5,Festivo,no,519
Lunes,Enero,6,Laboral,no,1231
Martes,Enero,6,Laboral,no,1209
Miércoles,Enero,6,Laboral,no,1157
Jueves,Enero,6,Laboral,no,1145
Viernes,Enero,6,Laboral,si,1287
Sábado,Enero,6,Víspera,no,770
Domingo,Enero,6,Festivo,no,728
Lunes,Enero,7,Laboral,no,4627
Martes,Enero,7,Laboral,no,4549
Miércoles,Enero,7,Laboral,no,4384
Jueves,Enero,7,Laboral,no,4337
Viernes,Enero,7,Laboral,si,4344
Sábado,Enero,7,Víspera,no,1171
Domingo,Enero,7,Festivo,no,893
Lunes,Enero,8,Laboral,no,8032
Martes,Enero,8,Laboral,no,8202
Miércoles,Enero,8,Laboral,no,8133
Jueves,Enero,8,Laboral,no,7995
Viernes,Enero,8,Laboral,si,8102
Sábado,Enero,8,Víspera,no,2038
Domingo,Enero,8,Festivo,no,1108
Lunes,Enero,9,Laboral,no,8289
Martes,Enero,9,Laboral,no,8035
Miércoles,Enero,9,Laboral,no,8565
Jueves,Enero,9,Laboral,no,7561
Viernes,Enero,9,Laboral,si,8339
Sábado,Enero,9,Víspera,no,3546
Domingo,Enero,9,Festivo,no,1890
Lunes,Enero,10,Laboral,no,6948
Martes,Enero,10,Laboral,no,7042
Miércoles,Enero,10,Laboral,no,7287
Jueves,Enero,10,Laboral,no,6567
Viernes,Enero,10,Laboral,si,7103
Sábado,Enero,10,Víspera,no,4896
Domingo,Enero,10,Festivo,no,2846
Lunes,Enero,11,Laboral,no,6666
Martes,Enero,11,Laboral,no,6414
Miércoles,Enero,11,Laboral,no,6682
Jueves,Enero,11,Laboral,no,7331
Viernes,Enero,11,Laboral,si,6798
Sábado,Enero,11,Víspera,no,5712
Domingo,Enero,11,Festivo,no,4642
Lunes,Enero,12,Laboral,no,6473
Martes,Enero,12,Laboral,no,6416
Miércoles,Enero,12,Laboral,no,6612
Jueves,Enero,12,Laboral,no,6628
Viernes,Enero,12,Laboral,si,6749
Sábado,Enero,12,Víspera,no,6416
Domingo,Enero,12,Festivo,no,5534
Lunes,Enero,13,Laboral,no,6602
Martes,Enero,13,Laboral,no,6668
Miércoles,Enero,13,Laboral,no,6774
Jueves,Enero,13,Laboral,no,6905
Viernes,Enero,13,Laboral,si,7231
Sábado,Enero,13,Víspera,no,6552
Domingo,Enero,13,Festivo,no,5223
Lunes,Enero,14,Laboral,no,7213
Martes,Enero,14,Laboral,no,7501
Miércoles,Enero,14,Laboral,no,7591
Jueves,Enero,14,Laboral,no,8094
Viernes,Enero,14,Laboral,si,9111
Sábado,Enero,14,Víspera,no,7712
Domingo,Enero,14,Festivo,no,6118
Lunes,Enero,15,Laboral,no,8262
Martes,Enero,15,Laboral,no,8209
Miércoles,Enero,15,Laboral,no,8226
Jueves,Enero,15,Laboral,no,8843
Viernes,Enero,15,Laboral,si,9370
Sábado,Enero,15,Víspera,no,7141
Domingo,Enero,15,Festivo,no,5515
Lunes,Enero,16,Laboral,no,8167
Martes,Enero,16,Laboral,no,8273
Miércoles,Enero,16,Laboral,no,8558
Jueves,Enero,16,Laboral,no,8607
Viernes,Enero,16,Laboral,si,8952
Sábado,Enero,16,Víspera,no,5398
Domingo,Enero,16,Festivo,no,4412
Lunes,Enero,17,Laboral,no,7757
Martes,Enero,17,Laboral,no,8147
Miércoles,Enero,17,Laboral,no,8297
Jueves,Enero,17,Laboral,no,8339
Viernes,Enero,17,Laboral,si,8152
Sábado,Enero,17,Víspera,no,5636
Domingo,Enero,17,Festivo,no,5113
Lunes,Enero,18,Laboral,no,7684
Martes,Enero,18,Laboral,no,8051
Miércoles,Enero,18,Laboral,no,8255
Jueves,Enero,18,Laboral,no,8387
Viernes,Enero,18,Laboral,si,7597
Sábado,Enero,18,Víspera,no,6257
Domingo,Enero,18,Festivo,no,5414
Lunes,Enero,19,Laboral,no,7950
Martes,Enero,19,Laboral,no,7397
Miércoles,Enero,19,Laboral,no,7475
Jueves,Enero,19,Laboral,no,7933
Viernes,Enero,19,Laboral,si,8188
Sábado,Enero,19,Víspera,no,6649
Domingo,Enero,19,Festivo,no,5682
Lunes,Enero,20,Laboral,no,6724
Martes,Enero,20,Laboral,no,6692
Miércoles,Enero,20,Laboral,no,6741
Jueves,Enero,20,Laboral,no,7099
Viernes,Enero,20,Laboral,si,7350
Sábado,Enero,20,Víspera,no,6468
Domingo,Enero,20,Festivo,no,5604
Lunes,Enero,21,Laboral,no,5217
Martes,Enero,21,Laboral,no,5428
Miércoles,Enero,21,Laboral,no,5679
Jueves,Enero,21,Laboral,no,5857
Viernes,Enero,21,Laboral,si,6614
Sábado,Enero,21,Víspera,no,5671
Domingo,Enero,21,Festivo,no,4179
Lunes,Enero,22,Laboral,no,3680
Martes,Enero,22,Laboral,no,3727
Miércoles,Enero,22,Laboral,no,3766
Jueves,Enero,22,Laboral,no,3806
Viernes,Enero,22,Laboral,si,4932
Sábado,Enero,22,Víspera,no,4674
Domingo,Enero,22,Festivo,no,3009
Lunes,Enero,23,Laboral,no,2334
Martes,Enero,23,Laboral,no,2286
Miércoles,Enero,23,Laboral,no,2663
Jueves,Enero,23,Laboral,no,2783
Viernes,Enero,23,Laboral,si,3325
Sábado,Enero,23,Víspera,no,3285
Domingo,Enero,23,Festivo,no,1992
Lunes,Enero,24,Laboral,no,1044
Martes,Enero,24,Laboral,no,1108
Miércoles,Enero,24,Laboral,no,1292
Jueves,Enero,24,Laboral,no,1393
Viernes,Enero,24,Laboral,si,2055
Sábado,Enero,24,Víspera,no,2002
Domingo,Enero,24,Festivo,no,1067
Lunes,Febrero,1,Laboral,no,695
Martes,Febrero,1,Festivo,no,631
Miércoles,Febrero,1,Laboral,no,762
Jueves,Febrero,1,Laboral,no,874
Viernes,Febrero,1,Laboral,no,1367
Sábado,Febrero,1,Víspera,no,1794
Domingo,Febrero,1,Festivo,no,936
Lunes,Febrero,2,Laboral,no,342
Martes,Febrero,2,Festivo,no,353
Miércoles,Febrero,2,Laboral,no,446
Jueves,Febrero,2,Laboral,no,450
Viernes,Febrero,2,Laboral,no,871
Sábado,Febrero,2,Víspera,no,1077
Domingo,Febrero,2,Festivo,no,594
Lunes,Febrero,3,Laboral,no,216
Martes,Febrero,3,Festivo,no,221
Miércoles,Febrero,3,Laboral,no,192
Jueves,Febrero,3,Laboral,no,298
Viernes,Febrero,3,Laboral,no,602
Sábado,Febrero,3,Víspera,no,681
Domingo,Febrero,3,Festivo,no,437
Lunes,Febrero,4,Laboral,no,242
Martes,Febrero,4,Festivo,no,212
Miércoles,Febrero,4,Laboral,no,194
Jueves,Febrero,4,Laboral,no,278
Viernes,Febrero,4,Laboral,no,408
Sábado,Febrero,4,Víspera,no,504
Domingo,Febrero,4,Festivo,no,237
Lunes,Febrero,5,Laboral,no,414
Martes,Febrero,5,Festivo,no,397
Miércoles,Febrero,5,Laboral,no,413
Jueves,Febrero,5,Laboral,no,437
Viernes,Febrero,5,Laboral,no,439
Sábado,Febrero,5,Víspera,no,488
Domingo,Febrero,5,Festivo,no,277
Lunes,Febrero,6,Laboral,no,1421
Martes,Febrero,6,Festivo,no,1331
Miércoles,Febrero,6,Laboral,no,1429
Jueves,Febrero,6,Laboral,no,1461
Viernes,Febrero,6,Laboral,no,807
Sábado,Febrero,6,Víspera,no,710
Domingo,Febrero,6,Festivo,no,685
Lunes,Febrero,7,Laboral,no,5125
Martes,Febrero,7,Festivo,no,5112
Miércoles,Febrero,7,Laboral,no,5132
Jueves,Febrero,7,Laboral,no,5136
Viernes,Febrero,7,Laboral,no,1028
Sábado,Febrero,7,Víspera,no,874
Domingo,Febrero,7,Festivo,no,973
Lunes,Febrero,8,Laboral,no,9230
Martes,Febrero,8,Festivo,no,9092
